Evidence ID	Method	Claim scope	Audit version	Evidence type	Primary source	Locator or section	Source URL	Accessed
E001	SimSpace	Version, license, Python API, source availability	0.3.2	Versioned source	SimSpace source tree	pyproject.toml; setup.py; README; commit ecf2855	https://github.com/TianxiaoNYU/simspace/tree/ecf2855612871498dc89b8d43169229dfb8f6057	2026-07-23
E002	SimSpace	User interface, optional molecular engines, examples and documentation	0.3.2	Versioned source	SimSpace README	Quick start; expression simulation; documentation and reproducibility links	https://github.com/TianxiaoNYU/simspace/blob/ecf2855612871498dc89b8d43169229dfb8f6057/README.md	2026-07-23
E003	SimSpace	2-D/3-D coordinates, niches, cell states, interaction matrices, seeds, metadata	0.3.2	Versioned source	SimSpace core.py	SimSpace; initialize; create_niche; gibbs_sampler; 3-D counterparts; create_omics	https://github.com/TianxiaoNYU/simspace/blob/ecf2855612871498dc89b8d43169229dfb8f6057/simspace/core.py	2026-07-23
E004	SimSpace	Molecular model, LR-pair effect, profile fitting adapters, molecular metadata	0.3.2	Versioned source	SimSpace omics.py	simOmicsMeta; simOmics; simSpatialOmics; scdesign_fit; srtsim_fit	https://github.com/TianxiaoNYU/simspace/blob/ecf2855612871498dc89b8d43169229dfb8f6057/simspace/omics.py	2026-07-23
E005	SimSpace	JSON/parameter utilities and output objects	0.3.2	Versioned source	SimSpace util.py	parameter save/load; sim_from_params; sim_from_json; spot metadata	https://github.com/TianxiaoNYU/simspace/blob/ecf2855612871498dc89b8d43169229dfb8f6057/simspace/util.py	2026-07-23
E006	SimSpace	Reproducibility repository	current checkout	Versioned source	SimSpace reproducibility repository	Repository tree; commit 4e16438	https://github.com/TianxiaoNYU/simspace-reproducibility/tree/4e16438fe43cb4a96159fea929bfcf81e9849464	2026-07-23
E007	SimSpace	Native spatial calibration of niche, cell-type affinity, density, and smoothness parameters against Moran's I and local-entropy targets	0.3.2	Versioned source	SimSpace optimize.py and spatial-fitting tutorial	_get_spatial_statistics; spatial_fit; docs/source/tutorials/spatial_fitting.ipynb	https://github.com/TianxiaoNYU/simspace/blob/ecf2855612871498dc89b8d43169229dfb8f6057/simspace/optimize.py	2026-07-23
E008	SimSpace	Reference-based Xenium layout generation and evaluation of spatial/domain and cell-type organization	reproducibility commit 4e16438	Frozen reproducibility workflow	SimSpace reproducibility Figure 4	main_figures/Fig4/Fig4.py; Fig4_README.md; Panel_B_C_D_data	https://github.com/TianxiaoNYU/simspace-reproducibility/tree/4e16438fe43cb4a96159fea929bfcf81e9849464/main_figures/Fig4	2026-07-23
E009	SimSpace	Perturbation of fitted spatial affinity parameters while retaining the remaining fitted model components	reproducibility commit 4e16438	Frozen reproducibility workflow	SimSpace reproducibility Figure 7	main_figures/Fig7/Fig7.py; Fig7_README.md; Panel_A_B_C_data/perturb	https://github.com/TianxiaoNYU/simspace-reproducibility/tree/4e16438fe43cb4a96159fea929bfcf81e9849464/main_figures/Fig7	2026-07-23
E010	scCube	Overall design, reference-based and reference-free workflows, 2-D/3-D support, truth limits, evaluation data	2.0.1	Peer-reviewed article	scCube article	Methods; simulation framework; validation and discussion	https://doi.org/10.1038/s41467-024-49445-0	2026-07-23
